Review,lowercased,emojis_removed
"As a UNITEN student, Iâ€™ve had a great experience so far. Lecturers are knowledgeable and approachable, always willing to help when needed. The campus facilities are well-maintained, including the labs, libraries, and study areas, which make learning more convenient. The academic workload is challenging but manageable, and the curriculum is industry-relevant, preparing us well for future careers. There are also many clubs and activities to join, making campus life more enjoyable. Overall, UNITEN provides a balanced university experience with quality education and a supportive environment.","as a uniten student, iâ€™ve had a great experience so far. lecturers are knowledgeable and approachable, always willing to help when needed. the campus facilities are well-maintained, including the labs, libraries, and study areas, which make learning more convenient. the academic workload is challenging but manageable, and the curriculum is industry-relevant, preparing us well for future careers. there are also many clubs and activities to join, making campus life more enjoyable. overall, uniten provides a balanced university experience with quality education and a supportive environment.","as a uniten student, iâ€ve had a great experience so far. lecturers are knowledgeable and approachable, always willing to help when needed. the campus facilities are well-maintained, including the labs, libraries, and study areas, which make learning more convenient. the academic workload is challenging but manageable, and the curriculum is industry-relevant, preparing us well for future careers. there are also many clubs and activities to join, making campus life more enjoyable. overall, uniten provides a balanced university experience with quality education and a supportive environment."
"Bad in management. Every sem had a problem about timetable and subject registration. Price per subject very expensive even not related to our programme. Dont have a lot of parking especially at the library. Timetable very very stressful, have class at night ","bad in management. every sem had a problem about timetable and subject registration. price per subject very expensive even not related to our programme. dont have a lot of parking especially at the library. timetable very very stressful, have class at night ","bad in management. every sem had a problem about timetable and subject registration. price per subject very expensive even not related to our programme. dont have a lot of parking especially at the library. timetable very very stressful, have class at night "
"UNITEN has great academic potential, but there are several areas that need improvement, particularly in its facilities and management. Many classrooms and lecture halls have outdated equipment, including malfunctioning air conditioning and inadequate seating, making it uncomfortable for students. The library, while resourceful, requires better maintenance, more study spaces, and a stronger Wi-Fi connection. Additionally, sports and recreational facilities need urgent upgrades, as the gym lacks proper equipment and some sports courts are not well-maintained, discouraging student participation in extracurricular activities.

The universityâ€™s management and administrative processes also require improvement. Response times from offices such as finance and student affairs are often slow, leading to delays in resolving student concerns regarding fees and scholarships. Course registration is another major issue, with frequent system crashes and unclear guidelines creating unnecessary stress. Moreover, communication between the university and students needs enhancement, as important updates about policy changes, events, and academic matters are not always effectively conveyed. Addressing these issues will significantly enhance the student experience and ensure UNITEN remains a top choice for higher education.
","uniten has great academic potential, but there are several areas that need improvement, particularly in its facilities and management. many classrooms and lecture halls have outdated equipment, including malfunctioning air conditioning and inadequate seating, making it uncomfortable for students. the library, while resourceful, requires better maintenance, more study spaces, and a stronger wi-fi connection. additionally, sports and recreational facilities need urgent upgrades, as the gym lacks proper equipment and some sports courts are not well-maintained, discouraging student participation in extracurricular activities.

the universityâ€™s management and administrative processes also require improvement. response times from offices such as finance and student affairs are often slow, leading to delays in resolving student concerns regarding fees and scholarships. course registration is another major issue, with frequent system crashes and unclear guidelines creating unnecessary stress. moreover, communication between the university and students needs enhancement, as important updates about policy changes, events, and academic matters are not always effectively conveyed. addressing these issues will significantly enhance the student experience and ensure uniten remains a top choice for higher education.
","uniten has great academic potential, but there are several areas that need improvement, particularly in its facilities and management. many classrooms and lecture halls have outdated equipment, including malfunctioning air conditioning and inadequate seating, making it uncomfortable for students. the library, while resourceful, requires better maintenance, more study spaces, and a stronger wi-fi connection. additionally, sports and recreational facilities need urgent upgrades, as the gym lacks proper equipment and some sports courts are not well-maintained, discouraging student participation in extracurricular activities.

the universityâ€s management and administrative processes also require improvement. response times from offices such as finance and student affairs are often slow, leading to delays in resolving student concerns regarding fees and scholarships. course registration is another major issue, with frequent system crashes and unclear guidelines creating unnecessary stress. moreover, communication between the university and students needs enhancement, as important updates about policy changes, events, and academic matters are not always effectively conveyed. addressing these issues will significantly enhance the student experience and ensure uniten remains a top choice for higher education.
"
The managment system is the worst. The student could not get any time or study week before the finals and we could not get a longor period of time to settle down our pro forma invoice. ,the managment system is the worst. the student could not get any time or study week before the finals and we could not get a longor period of time to settle down our pro forma invoice. ,the managment system is the worst. the student could not get any time or study week before the finals and we could not get a longor period of time to settle down our pro forma invoice. 
they insist u to pay the pro forma urgently. maybe try to be considerate to people who comes from not so wealthy family. ,they insist u to pay the pro forma urgently. maybe try to be considerate to people who comes from not so wealthy family. ,they insist u to pay the pro forma urgently. maybe try to be considerate to people who comes from not so wealthy family. 
Good education but for accommodation & facilities not so much,good education but for accommodation & facilities not so much,good education but for accommodation & facilities not so much
"In my honest opinjon, its neutral. Uniten got its good and bad side in it. Good things are the lecturers, environment, and education here are positive and non-toxic. Its quite peaceful here. The bad side are more on how the projection of the student's future and well-being. I've seen that the staff's and how uniten goes is not student-oriented. The courses are kinda old for certain subjects and not industry based. We also lack of business and entrepreneur funding for startups. We dont have the innovation, research, and startups environment here. If the environments are more competitive, and the uniten itself promotes the innovation and research culture, we could produce better future oriented students. Exposure is a guaranteed for them. But I believe jt requires both efforts from students and the uniten also. We good","in my honest opinjon, its neutral. uniten got its good and bad side in it. good things are the lecturers, environment, and education here are positive and non-toxic. its quite peaceful here. the bad side are more on how the projection of the student's future and well-being. i've seen that the staff's and how uniten goes is not student-oriented. the courses are kinda old for certain subjects and not industry based. we also lack of business and entrepreneur funding for startups. we dont have the innovation, research, and startups environment here. if the environments are more competitive, and the uniten itself promotes the innovation and research culture, we could produce better future oriented students. exposure is a guaranteed for them. but i believe jt requires both efforts from students and the uniten also. we good","in my honest opinjon, its neutral. uniten got its good and bad side in it. good things are the lecturers, environment, and education here are positive and non-toxic. its quite peaceful here. the bad side are more on how the projection of the student's future and well-being. i've seen that the staff's and how uniten goes is not student-oriented. the courses are kinda old for certain subjects and not industry based. we also lack of business and entrepreneur funding for startups. we dont have the innovation, research, and startups environment here. if the environments are more competitive, and the uniten itself promotes the innovation and research culture, we could produce better future oriented students. exposure is a guaranteed for them. but i believe jt requires both efforts from students and the uniten also. we good"
Uniten is great,uniten is great,uniten is great
"honestly, night class is such a huge hassle and big disadvantages to students. Nighttime is the time where all to most students are occupied with studying, assignments or even resting since in the daytime, most of the students wouldnt be able to do so because of classes. I think nighttime classes should not exist.","honestly, night class is such a huge hassle and big disadvantages to students. nighttime is the time where all to most students are occupied with studying, assignments or even resting since in the daytime, most of the students wouldnt be able to do so because of classes. i think nighttime classes should not exist.","honestly, night class is such a huge hassle and big disadvantages to students. nighttime is the time where all to most students are occupied with studying, assignments or even resting since in the daytime, most of the students wouldnt be able to do so because of classes. i think nighttime classes should not exist."
"For residency, uniten need to create more space for parking and create designated area for student parking and it will be nice if theres a roof for parking, every event that held at dss, all the parking near dss will be closed, where should we park our car. And please makesure cendi allow us to apply access and not just depend on scorun but first come first serve. And please devide the student to who ever drive cars stay at amanah and those who dont stay at cendi. Thankyou very much and please do something about the carpark","for residency, uniten need to create more space for parking and create designated area for student parking and it will be nice if theres a roof for parking, every event that held at dss, all the parking near dss will be closed, where should we park our car. and please makesure cendi allow us to apply access and not just depend on scorun but first come first serve. and please devide the student to who ever drive cars stay at amanah and those who dont stay at cendi. thankyou very much and please do something about the carpark","for residency, uniten need to create more space for parking and create designated area for student parking and it will be nice if theres a roof for parking, every event that held at dss, all the parking near dss will be closed, where should we park our car. and please makesure cendi allow us to apply access and not just depend on scorun but first come first serve. and please devide the student to who ever drive cars stay at amanah and those who dont stay at cendi. thankyou very much and please do something about the carpark"
"great facilities, great residency. eventhough the management still have room for improvement.","great facilities, great residency. eventhough the management still have room for improvement.","great facilities, great residency. eventhough the management still have room for improvement."
"In my opinion, UNITEN is okay as it is. However, it would be great if UNITEN implement the â€˜Rumah Sukan Sistemâ€™ . This initiative will further strengthen the bonds between UNITEN students and staffs.","in my opinion, uniten is okay as it is. however, it would be great if uniten implement the â€˜rumah sukan sistemâ€™ . this initiative will further strengthen the bonds between uniten students and staffs.","in my opinion, uniten is okay as it is. however, it would be great if uniten implement the â€˜rumah sukan sistemâ€ . this initiative will further strengthen the bonds between uniten students and staffs."
"Naah, this university is a joke","naah, this university is a joke","naah, this university is a joke"
"good facility, friendly community, itms, sir lim kok cheng, coway, kelas malam, wifi","good facility, friendly community, itms, sir lim kok cheng, coway, kelas malam, wifi","good facility, friendly community, itms, sir lim kok cheng, coway, kelas malam, wifi"
UNITEN is among the best universities that provide IT programmes,uniten is among the best universities that provide it programmes,uniten is among the best universities that provide it programmes
"Don't go to UNITEN, go elsewhere","don't go to uniten, go elsewhere","don't go to uniten, go elsewhere"
"Well when I first arrived at uniten I thought ""Ouh this is an energy university maybe the electric won't be an issue""
*proceeds to pay every single month for utilities*","well when i first arrived at uniten i thought ""ouh this is an energy university maybe the electric won't be an issue""
*proceeds to pay every single month for utilities*","well when i first arrived at uniten i thought ""ouh this is an energy university maybe the electric won't be an issue""
*proceeds to pay every single month for utilities*"
"It's a good university, but I don't trust its management","it's a good university, but i don't trust its management","it's a good university, but i don't trust its management"
"As a final year student, I have a mixed review or opinion about UNITEN. I loved the education. The syllabus taught to students are very comprehensive and up to date to the industry standard. This prepares students in the working industry when they graduate.

As for the facilities, its quite poor in quality. Example includes, roof leakage, broken toilet and damaged roads. There is also poor security controls. Anybody can enter in and out of UNITEN whether they are a student or complete stranger. This poses a threat to all of UNITEN community from students to staffs. 

Would i recommend this university to someone i know? No i would not. There are other universities out there that are miles better than UNITEN. Make a proper research about the university before you enroll because you are going to spend 3-4 years there and potentially have a bright future ahead waiting for you. ","as a final year student, i have a mixed review or opinion about uniten. i loved the education. the syllabus taught to students are very comprehensive and up to date to the industry standard. this prepares students in the working industry when they graduate.

as for the facilities, its quite poor in quality. example includes, roof leakage, broken toilet and damaged roads. there is also poor security controls. anybody can enter in and out of uniten whether they are a student or complete stranger. this poses a threat to all of uniten community from students to staffs. 

would i recommend this university to someone i know? no i would not. there are other universities out there that are miles better than uniten. make a proper research about the university before you enroll because you are going to spend 3-4 years there and potentially have a bright future ahead waiting for you. ","as a final year student, i have a mixed review or opinion about uniten. i loved the education. the syllabus taught to students are very comprehensive and up to date to the industry standard. this prepares students in the working industry when they graduate.

as for the facilities, its quite poor in quality. example includes, roof leakage, broken toilet and damaged roads. there is also poor security controls. anybody can enter in and out of uniten whether they are a student or complete stranger. this poses a threat to all of uniten community from students to staffs. 

would i recommend this university to someone i know? no i would not. there are other universities out there that are miles better than uniten. make a proper research about the university before you enroll because you are going to spend 3-4 years there and potentially have a bright future ahead waiting for you. "
"Itâ€™s a great place to study but for me the are lot of things that need to improve?? wifi connection is the priority since there a lot of bad connections, the things that i have the issue since first semester, which is the we not have any â€œbaju koperatâ€ or tshirt that shows we are the uniten student like the main shirt of UNITEN, this happens because during that time, i have go to the outside event like involved with a lot of university, UNITEN students is the only have not the same shirt, like we just use our own shirts, there are the person like literally â€œhalauâ€ us thought we are just outsiders haha, and the positive think that i like about UNITEN is they have a very good lecturer â¤ï¸","itâ€™s a great place to study but for me the are lot of things that need to improve?? wifi connection is the priority since there a lot of bad connections, the things that i have the issue since first semester, which is the we not have any â€œbaju koperatâ€ or tshirt that shows we are the uniten student like the main shirt of uniten, this happens because during that time, i have go to the outside event like involved with a lot of university, uniten students is the only have not the same shirt, like we just use our own shirts, there are the person like literally â€œhalauâ€ us thought we are just outsiders haha, and the positive think that i like about uniten is they have a very good lecturer â¤ï¸","itâ€s a great place to study but for me the are lot of things that need to improve?? wifi connection is the priority since there a lot of bad connections, the things that i have the issue since first semester, which is the we not have any â€œbaju koperatâ€ or tshirt that shows we are the uniten student like the main shirt of uniten, this happens because during that time, i have go to the outside event like involved with a lot of university, uniten students is the only have not the same shirt, like we just use our own shirts, there are the person like literally â€œhalauâ€ us thought we are just outsiders haha, and the positive think that i like about uniten is they have a very good lecturer â¤ï¸"
"first I would say the facility where the student learn is very comfortable with comfortable chair and having aircon in every classroom. The food here is amazing and affordable. The accomodation for the student is nice but the problem is always the internet not being able to connect to wifi sometimes. Other then that, parking need to be improve so that more student can park their car.","first i would say the facility where the student learn is very comfortable with comfortable chair and having aircon in every classroom. the food here is amazing and affordable. the accomodation for the student is nice but the problem is always the internet not being able to connect to wifi sometimes. other then that, parking need to be improve so that more student can park their car.","first i would say the facility where the student learn is very comfortable with comfortable chair and having aircon in every classroom. the food here is amazing and affordable. the accomodation for the student is nice but the problem is always the internet not being able to connect to wifi sometimes. other then that, parking need to be improve so that more student can park their car."
"Academically, UNITEN provides courses that focus more on technology and future development. This positively impacts the current national agenda, which aims to achieve sustainable economic growth and technological advancement. UNITEN has many experienced lecturers who are actively working in the industry, helping to develop studentsâ€™ skills and prepare them for the workforce.  ","academically, uniten provides courses that focus more on technology and future development. this positively impacts the current national agenda, which aims to achieve sustainable economic growth and technological advancement. uniten has many experienced lecturers who are actively working in the industry, helping to develop studentsâ€™ skills and prepare them for the workforce.  ","academically, uniten provides courses that focus more on technology and future development. this positively impacts the current national agenda, which aims to achieve sustainable economic growth and technological advancement. uniten has many experienced lecturers who are actively working in the industry, helping to develop studentsâ€ skills and prepare them for the workforce.  "
for an energy university Im impressed with the ev bus implemented but damn the wifi sucks,for an energy university im impressed with the ev bus implemented but damn the wifi sucks,for an energy university im impressed with the ev bus implemented but damn the wifi sucks
Uniten has mostly very good lecturers and has sufficient facilities. But accomodation for students are lacking in terms of class schedules and flexibility.,uniten has mostly very good lecturers and has sufficient facilities. but accomodation for students are lacking in terms of class schedules and flexibility.,uniten has mostly very good lecturers and has sufficient facilities. but accomodation for students are lacking in terms of class schedules and flexibility.
#NAME?,#name?,#name?
I feel neither good nor bad towards UNITEN. There are some aspects that I like such as the courses & syllabuses taught to us students. They are relevant for our future because Iâ€™ve used those knowledge during my internship and they were shocked that I know such things. The environment itself is also not bad. Library is comfortable. Classes have full lightings to study in. What I dont like is the lack of concerns towards studentsâ€™ practicality. Less parking spots. Difficulty to access uniten brighten or any uniten website during the release of examination results. Poor wifi connectivity.,i feel neither good nor bad towards uniten. there are some aspects that i like such as the courses & syllabuses taught to us students. they are relevant for our future because iâ€™ve used those knowledge during my internship and they were shocked that i know such things. the environment itself is also not bad. library is comfortable. classes have full lightings to study in. what i dont like is the lack of concerns towards studentsâ€™ practicality. less parking spots. difficulty to access uniten brighten or any uniten website during the release of examination results. poor wifi connectivity.,i feel neither good nor bad towards uniten. there are some aspects that i like such as the courses & syllabuses taught to us students. they are relevant for our future because iâ€ve used those knowledge during my internship and they were shocked that i know such things. the environment itself is also not bad. library is comfortable. classes have full lightings to study in. what i dont like is the lack of concerns towards studentsâ€ practicality. less parking spots. difficulty to access uniten brighten or any uniten website during the release of examination results. poor wifi connectivity.
moderate ,moderate ,moderate 
the facilities are not really good,the facilities are not really good,the facilities are not really good
"UNITEN is a great university. However there are some room of improvements with the issues on accommodations, studies, curriculums and others","uniten is a great university. however there are some room of improvements with the issues on accommodations, studies, curriculums and others","uniten is a great university. however there are some room of improvements with the issues on accommodations, studies, curriculums and others"
Student info yg old school.aplikasi student life yg tak funtion.kos bayar mahal tpi ni je dapat,student info yg old school.aplikasi student life yg tak funtion.kos bayar mahal tpi ni je dapat,student info yg old school.aplikasi student life yg tak funtion.kos bayar mahal tpi ni je dapat
"Saya merasakan uniten perlu improve dari segi system delay mereka dalam aspek student info ia akan mengganggu student untuk akses dalam web itu,Dari aspek kos pendidikan,ia terlalu mahal dan tidak mengikut harga yang di bayar mahal tersebut.Jika servis perkhidmatan pendidikan ia mahal perlulah mengikut prosedur tersebut.Maaf hanya sekadar hujahan sahaja.","saya merasakan uniten perlu improve dari segi system delay mereka dalam aspek student info ia akan mengganggu student untuk akses dalam web itu,dari aspek kos pendidikan,ia terlalu mahal dan tidak mengikut harga yang di bayar mahal tersebut.jika servis perkhidmatan pendidikan ia mahal perlulah mengikut prosedur tersebut.maaf hanya sekadar hujahan sahaja.","saya merasakan uniten perlu improve dari segi system delay mereka dalam aspek student info ia akan mengganggu student untuk akses dalam web itu,dari aspek kos pendidikan,ia terlalu mahal dan tidak mengikut harga yang di bayar mahal tersebut.jika servis perkhidmatan pendidikan ia mahal perlulah mengikut prosedur tersebut.maaf hanya sekadar hujahan sahaja."
